address,business_name,category,n_reviews,price_category,rating,searched_zip
"31st St and BroadwayNew York, NY 10001",31st and Broadway Halal Cart,",Middle Eastern,Food Stands",35,1,4.5,10001
"2 W 32nd StNew York, NY 10001",E-Mo,",Korean",239,1,4,10001
"147 W 24th StNew York, NY 10011",One Star,",Bars",67,1,4,10001
"170 9th AveNew York, NY 10011",Dil-e Punjab Deli,",Indian,Vegetarian,Pakistani",136,1,4.5,10001
"316 5th AveNew York, NY 10001",Small Peace Soup & Smoothie,",Vegan,Vegetarian,Juice Bars & Smoothies",51,1,4.5,10001
"New York, NY 10121",The Cinnamon Snail,",Food Trucks",889,1,4.5,10001
"2 Pennsylvania PlzNew York, NY 10121",Don Pepi Deli,",Delis",44,1,4,10001
"15 E 31st StNew York, NY 10016",Cup & Cup,",Coffee & Tea,Cafes,Korean",205,1,4.5,10001
"247 W 36th StNew York, NY 10018",Culture 36,",Coffee & Tea",37,1,4,10001
"75 W 38th StNew York, NY 10018",Gong Cha,",Coffee & Tea,Bubble Tea",215,1,4,10001
"501 7th AveNew York, NY 10018",Potbelly Sandwich Shop,",Sandwiches,Salad,Soup",144,1,4,10001
"616 8th AveNew York, NY 10018",The Hummus & Pita Co,",Middle Eastern,Mediterranean,Vegetarian",160,1,4,10001
"325 8th AveNew York, NY 10001",Taco Bandito,",Mexican,Tex-Mex",146,1,3.5,10001
"325 5th AveNew York, NY 10016",99 Cents Fresh Pizza - CLOSED,",Pizza",105,1,4,10001
"41 W 28th StNew York, NY 10001",A&J Lingerie and More,",Discount Store,Adult",146,1,5,10001
"568 9th AveNew York, NY 10036",Empire Coffee & Tea Company,",Coffee & Tea",164,1,4,10001
"257 7th AveNew York, NY 10001",Bella Napoli,",Italian,Pizza",121,1,4,10001
"371 W 34th StNew York, NY 10001",Patiala Indian Food,",Indian",97,1,4,10001
"265 W 37th StNew York, NY 10018",El Sabroso,",Latin American",85,1,4,10001
"275 7th AveNew York, NY 10001",Argo Tea Café,",Cafes,Coffee & Tea",163,1,3.5,10001
"171 W 23rd StNew York, NY 10011",Wrapido,",Mediterranean,Salad",235,1,4,10001
"31st St & 8th AveNew York, NY 10001",Halal Cart,",Food Stands",18,1,4.5,10001
"168 W 25th StNew York, NY 10001",Milanes Spanish Restaurant,",Spanish,Breakfast & Brunch,Sandwiches",87,1,4,10001
"169 W 33rd StNew York, NY 10001",Little Italy Pizza,",Pizza",52,1,3.5,10001
"551 7th AveNew York, NY 10018",Gregory’s Coffee,",Coffee & Tea",116,1,4,10001
"267 W 34th StNew York, NY 10001",Roastown Coffee,",Coffee & Tea,Ice Cream & Frozen Yogurt,Asian Fusion",86,1,3.5,10001
"255 W 43rd StNew York, NY 10036",Green Symphony,",Vegetarian,Vegan",327,1,4,10001
"407 8th AveNew York, NY 10001",Tempest Bar,",Dive Bars,American (New)",79,1,3.5,10001
"50 W 23rd StNew York, NY 10010",Brooklyn Roasting Company,",Coffee & Tea,Sandwiches",73,1,4,10001
"30 W 35th StNew York, NY 10001",Costas - South American Arepas,",Latin American",60,1,4,10001
"11 W 32nd StNew York, NY 10001",Food Gallery 32,",Korean,Bubble Tea,Coffee & Tea",562,1,3.5,10001
"49 W 39th StNew York, NY 10018",The Kati Roll Company,",Indian,Halal",955,1,4,10001
"532 Ninth AveNew York, NY 10018",Holland Bar,",Dive Bars,Sports Bars",74,1,4,10001
"376 8th AveNew York, NY 10001",Salumeria Biellese,",Delis,Salad,Sandwiches",66,1,3.5,10001
"753 6th AveNew York, NY 10010",Olympia Deli,",Delis",30,1,4,10001
"330 7th AveNew York, NY 10001",Panera Bread,",Sandwiches,Salad,Soup",103,1,3.5,10001
"286 8th AveNew York, NY 10001",Renewing Spa,",Massage,Reflexology",170,1,4.5,10001
"75 9th AveNew York, NY 10011",Los Tacos No.1,",Mexican",1132,1,4.5,10001
"1030 BroadwayNew York, NY 10010",Calexico Cart,",Food Stands,Mexican",275,1,4,10001
"290 5th AveNew York, NY 10001",Space Gabi,",Coffee & Tea",22,1,4.5,10001
"14 E 34th StNew York, NY 10016",Xi’an Famous Foods,",Chinese",216,1,4,10001
"270 W 36th StNew York, NY 10018",Chicken House,",Chicken Wings,Vietnamese,Sandwiches",82,1,3.5,10001
"11 W 32nd StNew York, NY 10001",Spot Dessert Bar,",Desserts,Tapas Bars,Coffee & Tea",292,1,3.5,10001
"297 7th AveNew York, NY 10001",Epice Cafe,",Cafes,Sandwiches",31,1,3.5,10001
"427 7th AveNew York, NY 10001",Gyro II,",Middle Eastern,Greek,Mediterranean",172,1,3.5,10001
"249 W 26th StNew York, NY 10001",Chelsea Park Barbers,",Barbers",52,1,5,10001
"389 8th AveNew York, NY 10001",Walter’s Bar,",Pubs,Sports Bars",47,1,3.5,10001
"495 9th AveNew York, NY 10018",9th Avenue Barber Shop,",Barbers",63,1,5,10001
"304 W 34th StNew York, NY 10001",Chipotle,",Mexican,Fast Food",133,1,3,10001
"254 W 29th StNew York, NY 10001",Magnet Theater,",Comedy Clubs,Performing Arts,Art Schools",96,1,4.5,10001
"1270 BroadwayNew York, NY 10001",Laser Bar & Spa,",Laser Hair Removal,Skin Care,Waxing",39,1,5,10001
"7 W 36th StNew York, NY 10001",Fork & Spoon,",Delis,Breakfast & Brunch,Sandwiches",107,1,4,10001
"503 W 28th StNew York, NY 10001",Highline Pizza,",Pizza",40,1,4,10001
"578 9th AveNew York, NY 10036",Taqueria Tehuitzingo,",Mexican",208,1,4,10001
"100 W 23rd StNew York, NY 10011",Great Burrito,",Pizza,Mexican",175,1,4,10001
"316 W 39th StNew York, NY 10018",Cafe Mofongo,",Dominican",21,1,4,10001
"408 8th AveNew York, NY 10001",Famous Amadeus Pizza,",Pizza,Italian,Burgers",174,1,3,10001
"307 West 26th St.New York, NY 10001",Upright Citizens Brigade Theatre,",Comedy Clubs",458,1,4,10001
"25 W 35th StNew York, NY 10001",Cafe Rustico II,",Italian,Pizza",45,1,4,10001
"355 7th AveNew York, NY 10001",Lz Sushi,",Sushi Bars",68,1,3.5,10001
"265 W 37th StNew York, NY 10018",Metro Textile Corp,",Fabric Stores",39,1,5,10001
"174 9th AveNew York, NY 10011",Blossom Bakery,",Bakeries,Desserts,Vegan",68,1,4,10001
"502 9th AveNew York, NY 10018",Buongiorno Espresso Bar,",Coffee & Tea",53,1,3.5,10001
"6th Avenue & 28th StreetNew York, NY 10001",Antojito Mexicano,",Mexican,Food Stands",21,1,4,10001
"6th Avenue & 28th StreetNew York, NY 10001",Antojito Mexicano,",Mexican,Food Stands",21,1,4,10001
"478 9th AveNew York, NY 10018",Cuisine Of Pakistan,",Pakistani",84,1,3.5,10001
"15 W 29th StNew York, NY 10001",Lasani Restaurant,",Indian,Halal",32,1,4,10001
"1073 6th Ave, 2nd FlNew York, NY 10018",Café Zaiya,",Desserts,Coffee & Tea,Japanese",132,1,4,10001
"115 W 23rd StNew York, NY 10011",Chelsea Hair Studio,",Barbers",86,1,5,10001
"1412 BroadwayNew York, NY 10018",The Coffee Bean & Tea Leaf,",Coffee & Tea,Kosher",143,1,3.5,10001
"New York, NY",Kelvin Natural Slush Co,",Food Stands",163,1,4,10001
"One Penn PlzNew York, NY 10119",Lenwich,",Sandwiches,Salad,Breakfast & Brunch",77,1,3.5,10001
"256 W 20th StNew York, NY 10011",Royal Class Barber Shop,",Barbers",104,1,5,10001
"140 W 44th StNew York, NY 10036",Jimmy’s Corner,",Pubs,Sports Bars,Dive Bars",396,1,4,10001
"456 9th AveNew York, NY 10018",Sergimmo Salumeria,",Italian,Sandwiches",454,2,4.5,10001
"234 W 35th StNew York, NY 10001",Madman Espresso,",Coffee & Tea",130,2,4.5,10001
"143 W 29th StNew York, NY 10001",Cafe Hanamizuki,",Cafes",261,2,4,10001
"132 W 31st StNew York, NY 10001",Friedman’s,",American (New),Gluten-Free,Breakfast & Brunch",977,2,4,10001
"20 W 29th StNew York, NY 10001",Stumptown Coffee Roasters,",Coffee & Tea",1190,2,4.5,10001
"348 7th AveNew York, NY 10001",VLife,",Vegan,Vegetarian,Juice Bars & Smoothies",145,2,4,10001
"409 8th AveNew York, NY 10001",Riko Peruvian Cuisine,",Peruvian,Latin American,Seafood",294,2,4,10001
"245 W 29th StNew York, NY 10001",OCabanon,",French,Wine Bars,Tapas Bars",226,2,4,10001
"33rd & BroadwayNew York, NY 10001",Broadway Bites,",Food Court,Food Trucks",138,2,4,10001
"220 W 23rd StNew York, NY 10011",Doughnut Plant,",Donuts,Coffee & Tea",1767,2,4,10001
"252 W 29th StNew York, NY 10001",Haymaker Bar and Kitchen,",Gastropubs,Beer Bar",87,2,4,10001
"53 W 35th StNew York, NY 10001",Izakaya MEW,",Japanese,Sushi Bars",973,2,4,10001
"874 Avenue of the AmericasNew York, NY 10001",Gregorys Coffee,",Coffee & Tea",183,2,4,10001
"493 9th aveNew York, NY 10018",India Kitchen,",Indian",81,2,4.5,10001
"249 9th AveNew York, NY 10001",Jun-Men Ramen Bar,",Ramen",246,2,4,10001
"165 W 26th StNew York, NY 10001",Sid Gold’s Request Room,",Cocktail Bars",37,2,4.5,10001
"302 W 38th StNew York, NY 10018",Cafe Tarantin,",Mediterranean,Cafes,Halal",92,2,4.5,10001
"800 6th AveNew York, NY 10001",Waldy’s Wood Fired Pizza & Penne,",Pizza",583,2,4,10001
"132 W 23rd StNew York, NY 10011",La Maison du Macaron,",Macarons,Coffee & Tea",760,2,4,10001
"1 Penn PlzNew York, NY 10119",Tracks Raw Bar & Grill,",Pubs,Live/Raw Food,American (Traditional)",190,2,4,10001
"246 W 38th StNew York, NY 10018",District Tap House,",Sports Bars,Gastropubs,Pubs",374,2,4,10001
"11 West 32nd StNew York, NY 10001",DADAM,",Korean,Food Court",66,2,4.5,10001
"235 W 35th StNew York, NY 10001",Asura Asian Bistro,",Chinese,Asian Fusion,Bars",177,2,4,10001
"488 9th AveNew York, NY 10018",Tavola,",Italian,Pizza",449,2,4,10001
"72 W 38th StNew York, NY 10018",Culture Espresso,",Coffee & Tea",645,2,4,10001
"463 W 24th StNew York, NY 10001",Rocket Pig,",American (New)",105,2,4.5,10001
"63 W 37th StNew York, NY 10018",Pokéworks,",Hawaiian,Seafood,Sushi Bars",814,2,4,10001
"333 7th AveNew York, NY 10001",Black Iron Burger,",Burgers",105,2,4,10001
"138 W 29th StNew York, NY 10001",Pioneers,",Lounges,Pubs,Venues & Event Spaces",138,2,4,10001
"2 Penn PlazaNew York, NY 10121",The Pennsy,",Bars,American (Traditional),Food Court",125,2,4,10001
"22 W 32nd StNew York, NY 10001",Jongro BBQ,",Korean,Barbeque",394,2,4,10001
"1178 BroadwayNew York, NY 10001",Dig Inn,",American (Traditional)",207,2,4,10001
"2 Penn PlzNew York, NY 10001",The Cinnamon Snail at The Pennsy,",Vegan,Vegetarian",88,2,4,10001
"138 W 25th StNew York, NY 10001",Smithfield,",Pubs,American (Traditional),Sports Bars",310,2,4,10001
"293 7th AveNew York, NY 10001",Kobeyaki,",Japanese,Sushi Bars,Burgers",365,2,4,10001
"480 9th AveNew York, NY 10018",Larb Ubol,",Thai",453,2,4,10001
"32 W 33rd StNew York, NY 10001",CajunSea & Oyster Bar,",Cajun/Creole,Seafood",347,2,4,10001
"208 W 30th StNew York, NY 10001",Designs By Ahn,",Florists,Party Supplies",63,2,5,10001
"151 W 34th StNew York, NY 10001",Stella 34 Trattoria,",Italian,Pizza",394,2,4,10001
"547 9th AveNew York, NY 10018",Capizzi,",Pizza",519,2,4,10001
"17 W 32nd StNew York, NY 10001",Grace Street,",Coffee & Tea,Desserts,Shaved Ice",764,2,4,10001
"314 5th AveNew York, NY 10001",Turntable Chicken Jazz,",Chicken Wings,Lounges,American (New)",1139,2,4,10001
"48 W 27th StNew York, NY 10001",Bombay Sandwich Co.,",Vegan,Vegetarian,Gluten-Free",217,2,4,10001
"793 6th AveNew York, NY 10001",Hee Korean BBQ Grill,",Korean,Barbeque",80,2,4,10001
"5W 32nd StNew York, NY 10001",BCD Tofu House,",Korean,Vegetarian",1011,2,4,10001
"450 10th AveNew York, NY 10018",Friedman’s,",Breakfast & Brunch,Gluten-Free,American (New)",170,2,4,10001
"34 W 32nd StNew York, NY 10001",Spot Karaoke & Lounge,",Karaoke,Lounges",127,2,4,10001
"1164 BroadwayNew York, NY 10001",sweetgreen,",Salad,Vegetarian",398,2,4,10001
"242 West 27th StNew York, NY 10001",CityTouch Licensed Massage Therapy,",Massage,Massage Therapy,Reflexology",65,2,5,10001
"300 W 23rd StNew York, NY 10011",Asuka Sushi,",Sushi Bars,Japanese",541,2,4,10001
"224 W 35th StNew York, NY 10001",Sushi Fussion of NYC,",Sushi Bars,Asian Fusion",31,2,4,10001
"135 W 30th StNew York, NY 10001",Deweys Pub,",Gastropubs",55,2,4,10001
"228 W 39th StNew York, NY 10018",Carragher’s Pub & Restaurant,",Pubs,Sports Bars,British",53,2,4.5,10001
"60 W 23rd StNew York, NY 10010",Terri,",Sandwiches,Vegetarian,Juice Bars & Smoothies",662,2,4,10001
"513 W 27th StNew York, NY 10001",Ovest Pizzoteca,",Pizza,Italian,Cocktail Bars",353,2,4,10001
"124 W 25th StNew York, NY 10001",Perpetuum Cafe,",Coffee & Tea",35,2,4.5,10001
"252 W 37th StNew York, NY 10018",District Social,",Bars,American (New)",71,2,4.5,10001
"43 W 32nd StNew York, NY 10001",est. 1986 Wine Bar/Lounge,",Wine Bars,Lounges",189,2,4,10001
"402 8th AveNew York, NY 10001",Molly Wee Pub,",Restaurants,Sports Bars,Pubs",150,2,3.5,10001
"6 W 32nd StNew York, NY 10001",Paris Baguette,",Bakeries,Coffee & Tea",529,2,4,10001
"6 W 32nd StNew York, NY 10001",Paris Baguette,",Bakeries,Coffee & Tea",529,2,4,10001
"365 W 34th StNew York, NY 10001",Alpha Fusion,",Asian Fusion,Szechuan,Japanese",297,2,4,10001
"300 W 22nd StNew York, NY 10011",Foragers Table,",Breakfast & Brunch,American (New),Wine Bars",259,2,4,10001
"152 W 36th StNew York, NY 10018",Macaron Cafe,",Cafes,Macarons",450,2,3.5,10001
"245 W 38th StNew York, NY 10018",Black Iron Burger,",Burgers",343,2,4,10001
"522 9th AveNew York, NY 10018",Snack EOS,",Greek,Mediterranean",161,2,4,10001
"200 9th AveNew York, NY 10011",The Meatball Shop,",Italian",550,2,4,10001
"315 W 39th StNew York, NY 10018",Tír na Nóg,",American (New),Irish,Irish Pub",201,2,4,10001
"249 W 26th StNew York, NY 10001",Pars Grill House,",Middle Eastern,Persian/Iranian",198,2,3.5,10001
"237 W 35th StNew York, NY 10001",Juniper,",Cocktail Bars,American (New)",96,2,4,10001
"236 9th AveNew York, NY 10001",Sullivan Street Bakery,",Bakeries,Breakfast & Brunch,Cafes",143,2,4,10001
"1188 BroadwayNew York, NY 10001",No. 7 Sub,",Sandwiches",345,2,4,10001
"472 9th AveNew York, NY 10018",Thai Select,",Thai",373,2,3.5,10001
"140 W 30th StNew York, NY 10001",Till & Sprocket,",American (New),Cafes,Bars",45,2,4,10001
"253 10th AveNew York, NY 10001",Pepe Giallo,",Italian",378,2,4,10001
"224 W 35th StManhattan, NY 10001",Manhattan Iphone Repair,",Mobile Phones,Mobile Phone Repair",324,2,4.5,10001
"420 5th AveNew York, NY 10018",Hole in the Wall Coffee,",Coffee & Tea,Donuts,Sandwiches",50,2,4.5,10001
"247 W 30th StNew York, NY 10001",American Whiskey,",American (New),Cocktail Bars,Sports Bars",198,2,3.5,10001
"246 10th AveNew York, NY 10001",Bottino Take-Out,",Sandwiches",108,2,4,10001
"358 7th AveNew York, NY 10001",Erase Spa,",Laser Hair Removal,Tattoo Removal,Skin Care",89,2,5,10001
"315 5th AveNew York, NY 10016",Soju Haus,",Korean",251,2,4,10001
"371 7th AveNew York, NY 10001",Niles Restaurant,",Bars,American (New)",131,2,3.5,10001
"1133 BroadwayNew York, NY 10010",Inday,",Indian,Salad",132,2,4,10001
"9 W 32nd StNew York, NY 10001",Five Senses,",Korean,Barbeque",352,2,4,10001
"152 W 26th StNew York, NY 10001",RARE View Rooftop Chelsea,",Cocktail Bars,Venues & Event Spaces,Sports Bars",88,2,4,10001
"274 W 40th StNew York, NY 10018",Piccolo Cafe,",Coffee & Tea,Italian,Sandwiches",175,2,4,10001
"325 W 38th StManhattan, NY 10018",Saajida’s Eyebrows,",Hair Removal,Makeup Artists,Eyelash Service",46,2,5,10001
"1 25th StNew York, NY 10010",Madison Square Eats,",Street Vendors,American (Traditional)",281,2,4,10001
"55 W 35th StNew York, NY 10001",Cho Dang Gol Korean Restaurant,",Korean",708,2,3.5,10001
"147 W 35th StNew York, NY 10001",Robbie & Co Men’s Shop,",Bespoke Clothing,Formal Wear,Men's Clothing",43,2,5,10001
"147 W 35th StNew York, NY 10001",Robbie & Co Men’s Shop,",Bespoke Clothing,Formal Wear,Men's Clothing",43,2,5,10001
"340 9th AveNew York, NY 10001",Maggie Reillys Restaurant,",Pubs,American (Traditional)",46,2,4,10001
"534 9th AveNew York, NY 10018",Snax Spot,",Burgers,Fast Food",30,2,5,10001
"52 W 33rd StNew York, NY 10001",Petit Poulet,",French,Wine Bars",183,2,4,10001
"121 Madison AveNew York, NY 10016",Blank Slate Coffee + Kitchen,",Coffee & Tea,Breakfast & Brunch,Bars",175,2,4.5,10001
"64 W 39th StNew York, NY 10018",Parker & Quinn,",American (New),Bars,Venues & Event Spaces",545,2,4,10001
"352 W 39th StNew York, NY 10018",Mercato,",Italian",477,2,4,10001
"34 W 32nd StNew York, NY 10001",Space Billiard,",Pool Halls,Bars",114,2,4,10001
"405 W 23rd StNew York, NY 10011",Joe Coffee,",Coffee & Tea",143,2,4,10001
"251 W 30th StNew York, NY 10001",New York City Guitar School,",Art Schools,Musical Instruments & Teachers",44,2,5,10001
"37 W 26th StNew York, NY 10010",Flatiron Room,",Lounges,Jazz & Blues,American (Traditional)",445,3,4.5,10001
"129 W 29th StNew York, NY 10001",Wine Disciples Enoteca,",Wine Bars,Italian",51,3,4.5,10001
"299 10th AveNew York, NY 10001",Porteno Restaurant,",Argentine",244,3,4.5,10001
"243 West 30th StreetNew York, NY 10001",Ken & Dana Design,",Bridal,Jewelry",138,3,5,10001
"10 W 28th StNew York, NY 10001",The NoMad Bar,",Cocktail Bars",212,3,4.5,10001
"1170 BroadwayNew York, NY 10001",The NoMad Hotel,",Gastropubs,Lounges",156,3,4,10001
"187 9th AveNew York, NY 10011",Blossom Vegan Restaurant,",Vegetarian,Vegan,Kosher",695,3,4,10001
"542 W 27th StNew York, NY 10001",The Heath,",Bars,Music Venues,Modern European",189,3,4.5,10001
"200 W 39th StNew York, NY 10018",The Skylark,",Cocktail Bars",218,3,4,10001
"128 W 26th StNew York, NY 10001",Tre Dici - CLOSED,",Italian",269,3,4,10001
"236 5th AveNew York, NY 10001",ilili,",Mediterranean,Lebanese",1706,3,4,10001
"350 5th AveNew York, NY 10118",State Grill and Bar,",Bars,American (New)",59,3,4.5,10001
"310 W 38th StNew York, NY 10018",Casa Nonna,",Italian,Pizza",276,3,4,10001
"132 W 31st StNew York, NY 10001",Pennsylvania 6 NYC,",American (New)",243,3,3.5,10001
"20 W 29th StNew York, NY 10001",Ace Hotel New York,",Hotels,Bars",559,3,4,10001
"47 W 38th StNew York, NY 10018",David Burke Fabrick,",American (New)",310,3,4,10001
"530 W 27th StNew York, NY 10001",The McKittrick Hotel,",Modern European,Music Venues",13,3,5,10001
"141 W 41st StNew York, NY 10036",Ootoya Times Square,",Japanese",407,3,4,10001
"17 W 26th StNew York, NY 10010",Maysville,",American (New),Wine Bars",404,3,4,10001
"43 W 24th StNew York, NY 10010",Raymi,",American (New),Peruvian,Tapas Bars",380,3,4,10001
"232 8th AvenueNew York, NY 10011",Momofuku Nishi,",Korean,Italian,American (New)",106,3,4,10001
"12 E 32nd StNew York, NY 10016",Hangawi,",Vegetarian,Korean,Vegan",774,3,4,10001
"8 W 36th StNew York, NY 10018",Kristalbelli,",Korean",296,3,4,10001
"159 W 23rd StNew York, NY 10011",Francisco’s Centro Vasco,",Spanish,Seafood",176,3,4,10001
"1250 BroadwayNew York, NY 10001",Gaonnuri,",Korean,Cocktail Bars",454,3,3.5,10001
"227 10th AveNew York, NY 10011",The Red Cat,",American (New)",542,3,4,10001
"205 10th AveNew York, NY 10011",Tia Pol,",Tapas Bars,Spanish",564,3,4,10001
"20 W 29th StNew York, NY 10001",The Breslin Bar & Dining Room,",Pubs,Gastropubs",1234,3,3.5,10001
"17 E 32nd StNew York, NY 10016",Dons Bogam BBQ & Wine Bar,",Korean,Barbeque,Wine Bars",729,3,4,10001
"36 W 26th StNew York, NY 10010",Hanjan,",Korean",244,3,4,10001
"185 7th AveNew York, NY 10011",Momoya,",Sushi Bars,Japanese",349,3,4,10001
"136 9th AveNew York, NY 10011",Salinas,",Spanish",645,3,4,10001
"27 W 24th StNew York, NY 10010",Junoon,",Indian",876,3,3.5,10001
"225 W 35th StNew York, NY 10001",Medical Pedicure,",Medical Spas",41,3,5,10001
"207 W 36th StNew York, NY 10018",Delmonico’s Kitchen,",Steakhouses",223,3,3.5,10001
"240 9th AveNew York, NY 10001",Txikito,",Basque,Tapas/Small Plates",268,3,3.5,10001
"63 W 38th StNew York, NY 10018",Winnie’s Lobby Bar,",Cocktail Bars",26,3,4.5,10001
"1 E 32nd StNew York, NY 10016",Kang Ho Dong Baekjeong,",Korean,Barbeque",533,3,3.5,10001
"226 W 23rd StNew York, NY 10011",El Quijote,",Spanish,Basque",297,3,3.5,10001
"542 W 27th StNew York, NY 10001",Gallow Green,",Cocktail Bars,Restaurants",378,3,3.5,10001
"1333 BroadwayNew York, NY 10018",Hairroin Salon,",Hair Stylists",122,3,4.5,10001
"9 Penn PlzNew York, NY 10001",Nick & Stef’s Steakhouse,",Steakhouses",127,3,3.5,10001
"207 10th AveNew York, NY 10011",Juban,",Japanese,Sushi Bars",68,3,4.5,10001
"122 W 29th StNew York, NY 10001",VickyC5,",Makeup Artists,Skin Care,Day Spas",102,3,4.5,10001
"231 W 40th StNew York, NY 10018",Inakaya,",Japanese",333,3,3.5,10001
"259 W 19th StNew York, NY 10011",Socarrat Paella Bar,",Spanish,Tapas Bars,Tapas/Small Plates",876,3,4,10001
"835 6th AveNew York, NY 10001",Lupulo,",Seafood,Portuguese",133,3,3.5,10001
"200 5th AveNew York, NY 10010",Manzo,",Italian,Seafood",222,3,4,10001
"250 7th AveNew York, NY 10001",Whole Foods Market,",Grocery,Specialty Food,Coffee & Tea",230,3,3.5,10001
"132 W 27th StNew York, NY 10001",Impero Caffè,",Italian",17,3,4,10001
"250 7th AveNew York, NY 10001",Whole Foods Market,",Grocery,Specialty Food,Coffee & Tea",230,3,3.5,10001
"132 W 27th StNew York, NY 10001",Impero Caffè,",Italian",17,3,4,10001
"136 W 33rd StNew York, NY 10001",Statler Grill,",American (Traditional),Steakhouses,Breakfast & Brunch",266,3,3,10001
"53 W 19th StNew York, NY 10011",Boqueria,",Spanish,Tapas Bars,Wine Bars",859,3,4,10001
"29 E 29th StNew York, NY 10016",Marta,",Pizza,Italian",398,3,4,10001
"378 Park Ave SNew York, NY 10010",Hillstone Restaurant,",American (New),Sushi Bars",604,3,4,10001
"242 10th AveNew York, NY 10001",Trestle on Tenth,",American (New)",258,3,3.5,10001
"48 W 21st StNew York, NY 10010",Natural Gourmet Institute,",Cooking Schools,Vegetarian",28,3,4,10001
"315 W 44th StNew York, NY 10036",Birdland Jazz Club,",Jazz & Blues,Cajun/Creole,Cabaret",203,3,4,10001
"132 9th AveNew York, NY 10011",Bathtub Gin,",Bars",531,3,4,10001
"255 5th AveNew York, NY 10016",Ben & Jack’s Steakhouse,",Steakhouses,Wine Bars,Seafood",219,3,3.5,10001
"40 W 40th StNew York, NY 10018",Koi Restaurant,",Sushi Bars,Japanese",530,3,3.5,10001
"352 W 44th StNew York, NY 10036",Etcetera Etcetera,",Italian,Venues & Event Spaces,Gluten-Free",310,3,4,10001
"19 E 26th StNew York, NY 10010",Black Barn,",American (New)",107,3,4,10001
"New York, NY 10001",Damone Roberts On Demand,",Hair Removal,Makeup Artists,Eyelash Service",32,3,4.5,10001
"47 W 38th StNew York, NY 10018",Spyglass Rooftop Bar,",Cocktail Bars",108,3,4,10001
"63 W 38th StNew York, NY 10018",Refinery Rooftop,",Lounges",350,3,3.5,10001
"75 9th AveNew York, NY 10011",Buddakan,",Chinese,Asian Fusion",2826,3,4,10001
"345 Park Ave SNew York, NY 10010",Upland,",American (New)",383,3,4,10001
"156 9th AveNew York, NY 10011",Tipsy Parson,",American (New),Desserts,Salad",468,3,3.5,10001
"33 W 37th StNew York, NY 10018",The Strand Bistro,",American (New)",103,3,3.5,10001
"5 Madison AveNew York, NY 10010",The Clocktower,",British",122,3,4,10001
"141 W 38th StNew York, NY 10018",Arno Ristorante,",Italian",117,3,3.5,10001
"24 E 21st StNew York, NY 10010",Almayass,",Mediterranean,Armenian,Middle Eastern",248,3,4.5,10001
